Age,Income,AdSpend,ClickThroughRate,ConversionRate,WebsiteVisits,PagesPerVisit,TimeOnSite,SocialShares,EmailOpens,EmailClicks,PreviousPurchases,LoyaltyPoints,Conversion
0.013581197729240156,0.01652530389185129,0.01263442664552594,0.0027875588957889655,0.008345575289271013,0.0,0.004374611028435316,0.009388303900134506,0.0036893896628636676,0.006062799358437852,0.018976575925766632,0.008382999831778868,0.002678892180892802,0.011942054429810795
0.01673397577352805,0.005040439775357235,0.007580552088952893,0.009884051100079833,0.017322709752567403,0.01642371775920336,0.005319406033907925,0.006793658794613135,0.0009708920165430704,0.002020933119479284,0.014759559053374047,0.004191499915889434,0.013468441938529363,0.011942054429810795
0.011155983849018699,0.010676655669755737,0.003006870111077191,0.017612635970324964,0.007245045252379657,0.000782081798057303,0.014995784472461996,0.01750901499053706,0.0,0.011115132157136063,0.004217016872392585,0.016765999663557737,0.009099667190038485,0.011942054429810795
0.00776068441670866,0.005321067708252483,0.0010490515796543066,0.008734346099492645,0.008342994298212385,0.01837892225434662,0.00828041052609936,0.018643029952719496,0.017281877894466655,0.002020933119479284,0.004217016872392585,0.0,0.00959027825805083,0.011942054429810795
0.014551283281328738,0.010134470433383499,0.003262779681525751,0.016048753397580752,0.010422568331594067,0.0,0.0037324294649144006,0.017760919324763945,0.0011650704198516845,0.006062799358437852,0.012651050617177754,0.016765999663557737,0.01691829436915585,0.011942054429810795
0.00606303470055364,0.005181055492270338,0.018626115457705216,0.009761526878073312,0.0152931306299177,0.002346245394171909,0.0038764908523937934,0.009840189053215619,0.018446948314318336,0.0050523327986982105,0.01686806748957034,0.0,0.012911637313721703,0.011942054429810795
0.009215812744841534,0.0030917352692953924,0.014199722603581651,0.002600755334184409,0.005780739291223984,0.01642371775920336,0.0031984124445488134,0.013579161982830984,0.01048563377866516,0.014146531836354989,0.006325525308588877,0.012574499747668302,0.003621176930567305,0.011942054429810795
0.013581197729240156,0.0068899287283696615,0.01035251101156419,0.0033562235608317254,0.0179124974468029,0.01876996315337527,0.004788542756309906,0.0037922517565053106,0.018641126717626952,0.00909419903765678,0.006325525308588877,0.0,0.011615022348260506,0.011942054429810795
0.008730769968797243,0.01699313781352956,0.018318634076063985,0.0014938552213075809,0.010673311541838102,0.005083531687372469,0.009979738896265343,0.018134139026317213,0.014175023441528828,0.004041866238958568,0.01686806748957034,0.010478749789723584,0.0017911197721085595,0.011942054429810795
0.009700855520885825,0.015783239147145918,0.012112012921614446,0.004229799114841775,0.016096063249332812,0.008602899778630333,0.0020708866547981793,0.005855391490801294,0.002718497646320597,0.008083732477917136,0.00843403374478517,0.016765999663557737,0.014753375688085504,0.011942054429810795
